task_id,completion_time,completion_status,user_rating
1,4.10282471631449,1,2
2,2.7358190172976373,1,4
3,3.8680334404936736,0,4
4,4.303632742570887,1,5
5,1.1987347753027848,1,4
6,4.6276597573868,1,2
7,3.8760560658101744,1,5
8,1.2233287747783603,0,5
9,1.4451367380143103,1,3
10,4.897967686115423,1,4
11,2.4760443867140873,1,1
12,1.0588114790826062,0,5
13,3.4601877475417906,0,3
14,4.726174381240397,0,3
15,0.5357781948695151,0,5
16,4.321017801708811,0,2
17,1.322287534359699,1,1
18,3.7582340879948117,0,2
19,4.587103064640293,0,1
20,4.926572725155118,1,2
21,1.7331370685003185,1,1
22,2.3564409531435566,1,3
23,1.2976182065534827,1,3
24,3.559783196790009,1,4
25,0.63200825776356,1,2
26,2.4334234502358054,0,1
27,1.7510139332817114,0,2
28,1.3160693107650874,0,3
29,3.6128472053375384,1,4
30,3.9570732658202017,0,3
31,3.2815434038436297,1,2
32,4.062949529742902,0,3
33,2.4233168778952403,0,2
34,1.4338818734478582,1,1
35,3.9050250356853127,0,5
36,2.0873153511832525,1,1
37,2.594611054205387,1,1
38,4.0179323548829275,1,1
39,4.940377988790064,0,1
40,4.436406972303608,1,1
41,0.7387234166589693,0,1
42,4.485861433292461,1,1
43,3.756423303107478,0,3
44,4.314255035166681,1,1
45,4.2618674827325815,0,2
46,4.587086512914803,0,2
47,0.7365652703558248,0,2
48,4.386902005201325,0,2
49,4.048682570867685,1,1
50,2.2090801599085266,1,4
51,4.801467783552356,0,4
52,2.880572955976107,0,5
53,2.0245521916577474,0,4
54,2.2514864085773847,0,3
55,2.6114549594774576,0,4
56,2.4054329607090006,1,2
57,1.942204224531773,1,1
58,3.8890119048735583,1,2
59,0.6163575615837555,1,4
60,1.1389551803479423,1,4
61,2.2207470089703305,1,5
62,1.727137936639806,0,2
63,3.4917102570194922,0,2
64,1.770775012494871,1,2
65,3.0476208872156016,1,1
66,1.4147579406374802,1,5
67,2.083270359347913,0,3
68,3.2753053161349968,1,1
69,4.098484675649368,0,2
70,1.612367254937234,0,4
71,3.9673855929687623,1,1
72,4.4605598796835455,0,2
73,2.0762034093681145,0,2
74,2.781567430471013,1,4
75,1.3184040787160458,1,4
76,3.355264349894424,0,2
77,0.8711224600182623,1,5
78,1.5387184759102635,1,5
79,4.027707819277686,0,3
80,1.0475553663552126,0,1
81,2.4029235123934534,1,4
82,3.8715353156548202,0,1
83,2.641465605113602,0,1
84,3.512737427244857,1,1
85,1.1998269039068086,1,1
86,0.6470620876502833,1,2
87,4.858875641790059,0,2
